,Popularity,Sentiment,ETH,LTC,XRP,ETC,DASH,XMR,BCH,BTC
Popularity,1.0,-0.0286988269377151,-0.04554967691095536,-0.029079709950043962,-0.00712108698316771,-0.05450007597165894,-0.05787133570781589,-0.07028719761225544,-0.07617856250286043,-0.10192973785908771
Sentiment,-0.0286988269377151,1.0,-0.04165238002495435,0.004005903643335255,0.05459459036225352,-0.04115639441589848,-0.0013995693696891905,-0.04531618427719993,-0.009524693107489107,0.01202255913583478
ETH,-0.04554967691095536,-0.04165238002495435,1.0,0.7712471141850221,0.7234982483177445,0.7837157790409959,0.8245971092491072,0.8041162177389967,0.7892900684739678,0.8218890861710703
LTC,-0.029079709950043962,0.004005903643335255,0.7712471141850221,1.0,0.7086961481535176,0.7045569383309787,0.8213583004952323,0.7674254745122254,0.7484411305567857,0.8454886094310982
XRP,-0.00712108698316771,0.05459459036225352,0.7234982483177445,0.7086961481535176,1.0,0.6716714039246513,0.765417006970819,0.7121890864154306,0.6546048749102272,0.7616699995875954
ETC,-0.05450007597165894,-0.04115639441589848,0.7837157790409959,0.7045569383309787,0.6716714039246513,1.0,0.738991945450781,0.6875185269021385,0.715085571786552,0.7240927572524828
DASH,-0.05787133570781589,-0.0013995693696891905,0.8245971092491072,0.8213583004952323,0.765417006970819,0.738991945450781,1.0,0.8372931687114699,0.8058261699573258,0.8486876249172037
XMR,-0.07028719761225544,-0.04531618427719993,0.8041162177389967,0.7674254745122254,0.7121890864154306,0.6875185269021385,0.8372931687114699,1.0,0.7862606023321225,0.8639185399058663
BCH,-0.07617856250286043,-0.009524693107489107,0.7892900684739678,0.7484411305567857,0.6546048749102272,0.715085571786552,0.8058261699573258,0.7862606023321225,1.0,0.7812849974827775
BTC,-0.10192973785908771,0.01202255913583478,0.8218890861710703,0.8454886094310982,0.7616699995875954,0.7240927572524828,0.8486876249172037,0.8639185399058663,0.7812849974827775,1.0
